dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235845	Y4737T	MSI	0.0889828	MSS/TP53+	0.0199413	0.0690416	low	0.998694	-0.0805181	0.0889828	0.000950848	0.0199413	15335
GSE84437	GSM2235846	Y4788T	MSS/TP53+	0.180153	MSS/TP53-	0.150358	0.0297949	low	0.993633	-0.106262	-0.0947262	0.150358	0.180153	15335
GSE84437	GSM2235847	Y4245T	MSI	0.153959	EMT	0.0209419	0.133017	medium	0.993863	0.0209419	0.153959	-0.218267	0.00333584	15335
GSE84437	GSM2235848	Y4253T	EMT	0.540919	MSI	-0.278409	0.819327	high	0.943659	0.540919	-0.278409	-0.289971	-0.278993	15335
GSE84437	GSM2235849	Y4256T	EMT	0.110278	MSS/TP53+	-0.0494138	0.159692	medium	0.998012	0.110278	-0.0645107	-0.0549302	-0.0494138	15335
GSE84437	GSM2235850	Y4260T	EMT	0.144833	MSS/TP53+	0.130609	0.0142239	low	0.993023	0.144833	-0.183064	-0.0878822	0.130609	15335
GSE84437	GSM2235851	Y4263T	MSS/TP53+	0.1915	MSS/TP53-	0.179048	0.0124522	low	0.989547	-0.257176	0.064437	0.179048	0.1915	15335
GSE84437	GSM2235852	Y4265T	EMT	0.248445	MSS/TP53+	0.00700351	0.241442	high	0.988576	0.248445	-0.171841	-0.172835	0.00700351	15335
GSE84437	GSM2235853	Y4273T	MSI	0.110709	MSS/TP53+	0.110237	0.000471949	low	0.99658	-0.12579	0.110709	-0.0186292	0.110237	15335
GSE84437	GSM2235854	Y4277T	MSS/TP53+	0.0718178	MSS/TP53-	0.0260844	0.0457334	low	0.999317	-0.0479634	-0.00246889	0.0260844	0.0718178	15335
GSE84437	GSM2235855	Y4305T	EMT	0.141902	MSS/TP53+	0.103024	0.0388773	low	0.992178	0.141902	-0.0290059	-0.249212	0.103024	15335
